,Review,Clean Review,Rating,Sentiment,Year,Month,Day,Title,Content
0,good sound. seem decent build quality good sound. happy purchase.,good sound seem decent build quality good sound happy purchase,5,Positive,2023,5,28,good sound,seem decent build quality and good sound. very happy with purchase.
1,"i didn't realise how bad my audio setup was. considering used quite respectable setup many years ago i've feel trap using bluetooth speakers leave lot desired. price provide perfect audio experience. i'm filling 3x3m room hardly auditorium quality amazing. feel like subwoofer genres average listening experience, without neighbours complaining, beautiful. almost brings tear eye.",not realise bad audio setup considering used quite respectable setup many years ago feel trap using bluetooth speakers leave lot desired price provide perfect audio experience filling room hardly auditorium quality amazing feel like subwoofer genres average listening experience without neighbours complaining beautiful almost brings tear eye,5,Positive,2023,5,27,i didn't realise how bad my audio setup was,"considering i used to have quite a respectable setup many years ago i've feel into a trap of using bluetooth speakers which leave a lot to be desired. for the price these provide a perfect audio experience. now i'm only filling a 3x3m room so hardly an auditorium but the quality is amazing. i do feel like i could do with a subwoofer for some genres but for the average listening experience, without the neighbours complaining, it's beautiful. almost brings a tear to my eye."
2,its a beauty. love compact shape sound,beauty love compact shape sound,5,Positive,2023,5,26,its a beauty,love its compact shape and sound
3,"perfect upgrade for pc audio. ruining cheap pc speakers blow mind. clean sound, small frame, good value money.",perfect upgrade pc audio ruining cheap pc speakers blow mind clean sound small frame good value money,5,Positive,2023,5,23,perfect upgrade for pc audio,"if you ruining cheap pc speakers those will blow your mind. clean sound, small frame, good value for money."
4,"wonderful monitors. years since using monitors use dt770 250's audio work wow, i'm pleased added studio...first sound...the sound quite flat good accurately eq sound. bass ""even"", meaning not exaggerated. mids well balanced (they sound great) high end also fairly well balanced get nice air snap eqing. bayer dynamic dt770 250's, find headphones ""air"" snap bit highs default, lower mids probably little punch, not much. going back forth 770's monitors similar(ish) experience...build quality size..very petit size, take much room. build absolutely fine price. no issues there...you standard connections means speaker wire phono 3.5mm (unbalanced). i'd recommend using trs trs help eliminate noise emf...on backs also access bass treble knobs help tune sound room...on front power switch 3.5mm ports headphones phone play music phone via correct cable, usually 3.5mm 3.5mm. note headphone isn't powerful enough power 250ohm headphones...overall, monitors brilliant well worth price.",wonderful monitors years since using monitors use audio work wow pleased added studio first sound sound quite flat good accurately eq sound bass even meaning not exaggerated mids well balanced sound great high end also fairly well balanced get nice air snap eqing bayer dynamic find headphones air snap bit highs default lower mids probably little punch not much going back forth monitors similar ish experience build quality size petit size take much room build absolutely fine price no issues standard connections means speaker wire phono unbalanced recommend using trs trs help eliminate noise emf backs also access bass treble knobs help tune sound room front power switch ports headphones phone play music phone via correct cable usually note headphone not powerful enough power headphones overall monitors brilliant well worth price,5,Positive,2023,5,21,wonderful monitors,"it's been some years since using any monitors as i use dt770 250's for all my audio work and wow, i'm so pleased i added these to my studio...first the sound...the sound is quite flat which is good as you can accurately eq your sound. the bass is ""even"", meaning that it's there but it's not exaggerated. the mids are very well balanced (they sound great) and the high end is also fairly well balanced and you can get some nice air and snap when eqing. for those that have the bayer dynamic dt770 250's, you'll find your headphones have more ""air"" and snap a bit more in the highs by default, the lower mids probably have a little more punch, but not much. going back and forth between the 770's and the monitors should be a similar(ish) experience...build quality and size..very petit in size, they don't take up much room. the build is absolutely fine for the price. no issues there...you have standard connections by means of speaker wire and phono to 3.5mm (unbalanced). i'd recommend using some trs to trs to help eliminate noise from emf...on the backs you also have access to bass and treble knobs to help tune the sound to your room...on the front you have the power switch and 3.5mm ports for headphones and phone so you can play music from your phone via the correct cable, usually 3.5mm to 3.5mm. just note that the headphone in isn't powerful enough to power 250ohm headphones...overall, these monitors are brilliant and well worth the price."
5,not loud enough. probably suited bedroom use not anything more. bass kept cutting highs mids times also same. not great - opted krk’s instead!,not loud enough probably suited bedroom use not anything bass kept cutting highs mids times also not great opted krk instead,2,Negative,2023,5,20,not loud enough,these are probably suited for bedroom use and not anything more. the bass kept cutting out with the highs and mids at times also doing the same. not great at all - i opted for krk’s instead!
6,faulty. passive speaker won't connect main speaker.. faulty.very disappointed,faulty passive speaker not connect main speaker faulty disappointed,1,Negative,2023,5,18,faulty,passive speaker won't connect to the main speaker.. faulty.very disappointed
7,"brilliant monitor speakers for dj'ing. absolutely love speakers - perfect dj'ing home loud enough little boogie kids. sound quality great i'm glad research ahead time. build quality really good, volume pot nice smooth...these great home music production gaming...well worth investment.",brilliant monitor speakers dj ing absolutely love speakers perfect dj ing home loud enough little boogie kids sound quality great glad research ahead time build quality really good volume pot nice smooth great home music production gaming well worth investment,5,Positive,2023,5,17,brilliant monitor speakers for dj'ing,"absolutely love these speakers - perfect for dj'ing at home and loud enough for a little boogie with the kids. sound quality is great and i'm glad i did my research ahead of time. build quality is really good, the volume pot is nice and smooth...these would be great for home music production or for gaming...well worth the investment."
8,very good but not as good as the harman kardon soundticks. good not good harman kardon soundticks..though smaller overall,good not good harman kardon soundticks good not good harman kardon soundticks though smaller overall,4,Positive,2023,5,14,very good but not as good as the harman kardon soundticks,very good but not as good as the harman kardon soundticks..though these are smaller overall
9,"crackling sound when connected to bluetooth. i’d like preface review saying tried 2 different sets speakers (both bluetooth version), brand new, exact issue, must model issue rather one-off problem...the first pair bought constant crackling/buzzing noise coming passive speaker connected bluetooth. noise disappeared disconnected bluetooth, appeared instantly connected. audible low volumes ruined listening experience exchanged another set...this second set exact problem. tried connecting different bluetooth device, tried moving speakers different rooms, moving electrical devices away, swapping cables around… noise not disappear no matter tried...really disappointing massively turned away purchasing presonus products again...i started returns process 2nd may 2023, posted item day, still not refund - today 12th may 2023. love update refund please?",crackling sound connected bluetooth like preface review saying tried different sets speakers bluetooth version brand new exact issue must model issue rather one problem first pair bought constant crackling buzzing noise coming passive speaker connected bluetooth noise disappeared disconnected bluetooth appeared instantly connected audible low volumes ruined listening experience exchanged another set second set exact problem tried connecting different bluetooth device tried moving speakers different rooms moving electrical devices away swapping cables around noise not disappear no matter tried really disappointing massively turned away purchasing presonus products started returns process may posted item day still not refund today may love update refund please,1,Negative,2023,5,12,crackling sound when connected to bluetooth,"i’d like to preface this review by saying i tried 2 different sets of these speakers (both the bluetooth version), brand new, and both had the exact same issue, so must be a model issue rather than a one-off problem...the first pair i bought had a constant crackling/buzzing noise coming from the passive speaker when connected to bluetooth. the noise disappeared when disconnected from bluetooth, but appeared instantly when connected. it was audible at low volumes which ruined the listening experience so i exchanged for another set...this second set had the exact same problem. i tried connecting a different bluetooth device, i tried moving the speakers to different rooms, moving electrical devices away, swapping cables around… but the noise would not disappear no matter what i tried...really disappointing and has massively turned me away from purchasing presonus products again...i started the returns process on 2nd may 2023, posted the item the same day, and still have not had a refund - today is 12th may 2023. would love an update on my refund please?"
